,Target,Y_hat,Target_Sensation,Y_hat_Sensation
243,-3.0,0,Cold,Neutral
244,-1.0,0,Slighty cool,Neutral
245,-1.0,0,Slighty cool,Neutral
246,0.0,0,Neutral,Neutral
247,0.0,0,Neutral,Neutral
248,0.0,-1,Neutral,Slighty cool
249,0.0,0,Neutral,Neutral
250,0.0,1,Neutral,Slighty warm
251,0.0,0,Neutral,Neutral
252,0.0,0,Neutral,Neutral
253,1.0,0,Slighty warm,Neutral
254,1.0,1,Slighty warm,Slighty warm
255,0.0,0,Neutral,Neutral
256,-1.0,1,Slighty cool,Slighty warm
257,-1.0,0,Slighty cool,Neutral
258,0.0,0,Neutral,Neutral
259,-1.0,0,Slighty cool,Neutral
260,2.0,-1,Warm,Slighty cool
261,0.0,0,Neutral,Neutral
262,0.0,1,Neutral,Slighty warm
263,-1.0,0,Slighty cool,Neutral
264,1.0,0,Slighty warm,Neutral
265,0.0,0,Neutral,Neutral
266,1.0,0,Slighty warm,Neutral
267,0.0,0,Neutral,Neutral
268,1.0,0,Slighty warm,Neutral
269,1.0,0,Slighty warm,Neutral
270,0.0,0,Neutral,Neutral
271,1.0,2,Slighty warm,Warm
272,0.0,0,Neutral,Neutral
273,1.0,1,Slighty warm,Slighty warm
274,3.0,1,Hot,Slighty warm
275,0.0,0,Neutral,Neutral
276,2.0,1,Warm,Slighty warm
277,-2.0,0,Cool,Neutral
278,0.0,0,Neutral,Neutral
279,0.0,0,Neutral,Neutral
280,1.0,0,Slighty warm,Neutral
281,3.0,1,Hot,Slighty warm
282,0.0,0,Neutral,Neutral
283,0.0,0,Neutral,Neutral
284,-1.0,0,Slighty cool,Neutral
285,1.0,1,Slighty warm,Slighty warm
286,0.0,1,Neutral,Slighty warm
287,-3.0,-1,Cold,Slighty cool
288,1.0,0,Slighty warm,Neutral
289,0.0,0,Neutral,Neutral
290,-1.0,0,Slighty cool,Neutral
291,3.0,0,Hot,Neutral
292,1.0,0,Slighty warm,Neutral
293,1.0,0,Slighty warm,Neutral
294,0.0,0,Neutral,Neutral
295,0.0,0,Neutral,Neutral
296,-1.0,0,Slighty cool,Neutral
297,-2.0,-2,Cool,Cool
298,-1.0,0,Slighty cool,Neutral
299,1.0,1,Slighty warm,Slighty warm
300,0.0,0,Neutral,Neutral
301,0.0,0,Neutral,Neutral
302,3.0,1,Hot,Slighty warm
303,2.0,1,Warm,Slighty warm
304,0.0,1,Neutral,Slighty warm
305,-3.0,0,Cold,Neutral
306,-1.0,0,Slighty cool,Neutral
307,1.0,0,Slighty warm,Neutral
308,3.0,1,Hot,Slighty warm
309,0.0,1,Neutral,Slighty warm
310,0.0,1,Neutral,Slighty warm
311,-3.0,-2,Cold,Cool
312,3.0,0,Hot,Neutral
313,0.0,0,Neutral,Neutral
314,0.0,1,Neutral,Slighty warm
315,0.0,0,Neutral,Neutral
316,-0.0,1,Neutral,Slighty warm
317,1.0,0,Slighty warm,Neutral
318,0.0,0,Neutral,Neutral
319,-1.0,0,Slighty cool,Neutral
320,1.0,0,Slighty warm,Neutral
321,0.0,0,Neutral,Neutral
322,0.0,0,Neutral,Neutral
323,0.0,0,Neutral,Neutral
324,-2.0,0,Cool,Neutral
325,0.0,0,Neutral,Neutral
326,0.0,-1,Neutral,Slighty cool
327,0.0,1,Neutral,Slighty warm
328,0.0,1,Neutral,Slighty warm
329,-1.0,0,Slighty cool,Neutral
330,1.0,0,Slighty warm,Neutral
331,-1.0,0,Slighty cool,Neutral
332,1.0,0,Slighty warm,Neutral
333,-1.0,0,Slighty cool,Neutral
334,0.0,1,Neutral,Slighty warm
335,3.0,1,Hot,Slighty warm
336,-0.0,1,Neutral,Slighty warm
337,1.0,0,Slighty warm,Neutral
338,2.0,1,Warm,Slighty warm
339,0.0,-1,Neutral,Slighty cool
340,0.0,0,Neutral,Neutral
341,-1.0,0,Slighty cool,Neutral
342,-1.0,-1,Slighty cool,Slighty cool
343,0.0,0,Neutral,Neutral
344,-2.0,-1,Cool,Slighty cool
345,0.0,0,Neutral,Neutral
346,0.0,0,Neutral,Neutral
347,-3.0,-2,Cold,Cool
348,0.0,1,Neutral,Slighty warm
349,0.0,1,Neutral,Slighty warm
350,1.0,0,Slighty warm,Neutral
351,0.0,1,Neutral,Slighty warm
352,0.0,-1,Neutral,Slighty cool
353,1.0,0,Slighty warm,Neutral
354,0.0,1,Neutral,Slighty warm
355,0.0,0,Neutral,Neutral
356,0.0,0,Neutral,Neutral
357,-1.0,0,Slighty cool,Neutral
358,0.0,1,Neutral,Slighty warm
359,0.0,0,Neutral,Neutral
360,-1.0,0,Slighty cool,Neutral
361,0.0,0,Neutral,Neutral
362,0.0,1,Neutral,Slighty warm
363,2.0,2,Warm,Warm
364,1.0,0,Slighty warm,Neutral
365,0.0,0,Neutral,Neutral
366,-2.0,0,Cool,Neutral
367,0.0,0,Neutral,Neutral
368,1.0,0,Slighty warm,Neutral
369,-1.0,0,Slighty cool,Neutral
370,-1.0,0,Slighty cool,Neutral
371,0.0,0,Neutral,Neutral
372,1.0,0,Slighty warm,Neutral
373,0.0,1,Neutral,Slighty warm
374,-0.0,0,Neutral,Neutral
375,-1.0,1,Slighty cool,Slighty warm
376,1.0,1,Slighty warm,Slighty warm
377,-1.0,-1,Slighty cool,Slighty cool
378,1.0,1,Slighty warm,Slighty warm
379,-2.0,-1,Cool,Slighty cool
380,0.0,-1,Neutral,Slighty cool
381,0.0,0,Neutral,Neutral
382,0.0,0,Neutral,Neutral
383,0.0,-1,Neutral,Slighty cool
384,0.0,0,Neutral,Neutral
385,0.0,0,Neutral,Neutral
386,-1.0,0,Slighty cool,Neutral
387,0.0,-1,Neutral,Slighty cool
388,1.0,1,Slighty warm,Slighty warm
389,0.0,0,Neutral,Neutral
390,-0.0,0,Neutral,Neutral
391,1.0,1,Slighty warm,Slighty warm
392,0.0,0,Neutral,Neutral
393,0.0,0,Neutral,Neutral
394,-1.0,0,Slighty cool,Neutral
395,-1.0,0,Slighty cool,Neutral
396,-2.0,-1,Cool,Slighty cool
397,1.0,0,Slighty warm,Neutral
398,1.0,0,Slighty warm,Neutral
399,0.0,0,Neutral,Neutral
400,0.0,1,Neutral,Slighty warm
401,0.0,-1,Neutral,Slighty cool
402,1.0,2,Slighty warm,Warm
403,0.0,0,Neutral,Neutral
404,0.0,-1,Neutral,Slighty cool
405,-1.0,0,Slighty cool,Neutral
406,1.0,1,Slighty warm,Slighty warm
407,-1.0,0,Slighty cool,Neutral
408,0.0,0,Neutral,Neutral
409,-1.0,0,Slighty cool,Neutral
410,0.0,0,Neutral,Neutral
411,0.0,0,Neutral,Neutral
412,0.0,1,Neutral,Slighty warm
413,0.0,0,Neutral,Neutral
414,0.0,0,Neutral,Neutral
415,0.0,0,Neutral,Neutral
416,-2.0,-1,Cool,Slighty cool
417,0.0,0,Neutral,Neutral
418,-2.0,0,Cool,Neutral
419,2.0,2,Warm,Warm
420,2.0,1,Warm,Slighty warm
421,0.0,0,Neutral,Neutral
422,2.0,1,Warm,Slighty warm
423,-1.0,0,Slighty cool,Neutral
424,0.0,0,Neutral,Neutral
425,0.0,1,Neutral,Slighty warm
426,-0.0,0,Neutral,Neutral
427,0.0,0,Neutral,Neutral
428,0.0,-1,Neutral,Slighty cool
429,1.0,0,Slighty warm,Neutral
430,0.0,1,Neutral,Slighty warm
431,1.0,1,Slighty warm,Slighty warm
432,0.0,0,Neutral,Neutral
433,1.0,0,Slighty warm,Neutral
434,0.0,0,Neutral,Neutral
435,-1.0,0,Slighty cool,Neutral
436,0.0,0,Neutral,Neutral
437,1.0,0,Slighty warm,Neutral
438,-1.0,0,Slighty cool,Neutral
439,2.0,1,Warm,Slighty warm
440,0.0,0,Neutral,Neutral
441,1.0,1,Slighty warm,Slighty warm
442,-1.0,0,Slighty cool,Neutral
443,-1.0,-1,Slighty cool,Slighty cool
444,2.0,0,Warm,Neutral
445,0.0,0,Neutral,Neutral
446,1.0,1,Slighty warm,Slighty warm
447,-1.0,0,Slighty cool,Neutral
448,1.0,0,Slighty warm,Neutral
449,0.0,0,Neutral,Neutral
450,0.0,0,Neutral,Neutral
451,3.0,1,Hot,Slighty warm
452,-1.0,0,Slighty cool,Neutral
453,0.0,1,Neutral,Slighty warm
454,0.0,0,Neutral,Neutral
455,-1.0,0,Slighty cool,Neutral
456,-1.0,0,Slighty cool,Neutral
457,0.0,0,Neutral,Neutral
458,1.0,1,Slighty warm,Slighty warm
459,-1.0,0,Slighty cool,Neutral
460,-0.0,0,Neutral,Neutral
461,0.0,0,Neutral,Neutral
462,-1.0,0,Slighty cool,Neutral
463,0.0,1,Neutral,Slighty warm
464,-0.0,0,Neutral,Neutral
465,1.0,0,Slighty warm,Neutral
466,-2.0,0,Cool,Neutral
467,-3.0,-2,Cold,Cool
468,1.0,-1,Slighty warm,Slighty cool
469,0.0,1,Neutral,Slighty warm
470,0.0,1,Neutral,Slighty warm
471,0.0,0,Neutral,Neutral
472,3.0,1,Hot,Slighty warm
473,0.0,0,Neutral,Neutral
474,0.0,0,Neutral,Neutral
475,0.0,0,Neutral,Neutral
476,-1.0,0,Slighty cool,Neutral
477,1.0,0,Slighty warm,Neutral
478,1.0,1,Slighty warm,Slighty warm
479,0.0,0,Neutral,Neutral
480,0.0,0,Neutral,Neutral
481,0.0,0,Neutral,Neutral
482,0.0,0,Neutral,Neutral
483,-1.0,0,Slighty cool,Neutral
484,1.0,0,Slighty warm,Neutral
485,1.0,1,Slighty warm,Slighty warm
486,-1.0,0,Slighty cool,Neutral
487,0.0,0,Neutral,Neutral
488,-3.0,-2,Cold,Cool
489,0.0,1,Neutral,Slighty warm
490,-1.0,0,Slighty cool,Neutral
491,-1.0,-1,Slighty cool,Slighty cool
492,0.0,0,Neutral,Neutral
493,0.0,0,Neutral,Neutral
494,1.0,0,Slighty warm,Neutral
495,0.0,0,Neutral,Neutral
496,-1.0,0,Slighty cool,Neutral
497,0.0,0,Neutral,Neutral
498,1.0,0,Slighty warm,Neutral
499,-1.0,-1,Slighty cool,Slighty cool
500,0.0,0,Neutral,Neutral
501,2.0,1,Warm,Slighty warm
502,0.0,0,Neutral,Neutral
503,0.0,-1,Neutral,Slighty cool
504,-2.0,-1,Cool,Slighty cool
505,1.0,1,Slighty warm,Slighty warm
506,-1.0,0,Slighty cool,Neutral
507,0.0,0,Neutral,Neutral
508,0.0,0,Neutral,Neutral
509,0.0,0,Neutral,Neutral
510,-1.0,0,Slighty cool,Neutral
511,0.0,0,Neutral,Neutral
512,0.0,0,Neutral,Neutral
513,-2.0,-1,Cool,Slighty cool
514,-2.0,0,Cool,Neutral
515,-1.0,0,Slighty cool,Neutral
516,0.0,0,Neutral,Neutral
517,0.0,0,Neutral,Neutral
518,0.0,0,Neutral,Neutral
519,0.0,0,Neutral,Neutral
520,0.0,-1,Neutral,Slighty cool
521,-1.0,0,Slighty cool,Neutral
522,0.0,0,Neutral,Neutral
523,2.0,1,Warm,Slighty warm
524,1.0,0,Slighty warm,Neutral
525,0.0,0,Neutral,Neutral
526,2.0,2,Warm,Warm
527,0.0,0,Neutral,Neutral
528,0.0,0,Neutral,Neutral
529,2.0,1,Warm,Slighty warm
530,-3.0,-1,Cold,Slighty cool
531,0.0,0,Neutral,Neutral
532,1.0,0,Slighty warm,Neutral
533,2.0,1,Warm,Slighty warm
534,0.0,0,Neutral,Neutral
535,0.0,1,Neutral,Slighty warm
536,0.0,0,Neutral,Neutral
537,2.0,1,Warm,Slighty warm
538,0.0,0,Neutral,Neutral
539,1.0,0,Slighty warm,Neutral
540,-1.0,0,Slighty cool,Neutral
541,1.0,0,Slighty warm,Neutral
542,0.0,0,Neutral,Neutral
543,-1.0,0,Slighty cool,Neutral
544,0.0,0,Neutral,Neutral
545,-0.0,0,Neutral,Neutral
546,-1.0,-1,Slighty cool,Slighty cool
547,-1.0,0,Slighty cool,Neutral
548,0.0,0,Neutral,Neutral
549,-1.0,0,Slighty cool,Neutral
550,1.0,1,Slighty warm,Slighty warm
551,-1.0,0,Slighty cool,Neutral
552,-2.0,-1,Cool,Slighty cool
553,0.0,0,Neutral,Neutral
554,-1.0,0,Slighty cool,Neutral
555,1.0,0,Slighty warm,Neutral
556,0.0,0,Neutral,Neutral
557,0.0,0,Neutral,Neutral
558,1.0,0,Slighty warm,Neutral
559,-0.0,1,Neutral,Slighty warm
560,-3.0,-1,Cold,Slighty cool
561,3.0,2,Hot,Warm
562,-1.0,-1,Slighty cool,Slighty cool
563,-0.0,0,Neutral,Neutral
564,1.0,0,Slighty warm,Neutral
565,-1.0,0,Slighty cool,Neutral
566,2.0,0,Warm,Neutral
567,0.0,0,Neutral,Neutral
568,0.0,1,Neutral,Slighty warm
569,0.0,0,Neutral,Neutral
570,3.0,1,Hot,Slighty warm
571,-0.0,1,Neutral,Slighty warm
572,2.0,0,Warm,Neutral
573,1.0,0,Slighty warm,Neutral
574,0.0,0,Neutral,Neutral
575,-1.0,0,Slighty cool,Neutral
576,3.0,2,Hot,Warm
577,0.0,1,Neutral,Slighty warm
578,-1.0,-1,Slighty cool,Slighty cool
579,1.0,1,Slighty warm,Slighty warm
580,0.0,0,Neutral,Neutral
581,-1.0,0,Slighty cool,Neutral
582,-2.0,0,Cool,Neutral
583,1.0,0,Slighty warm,Neutral
584,0.0,0,Neutral,Neutral
585,-1.0,0,Slighty cool,Neutral
586,1.0,1,Slighty warm,Slighty warm
587,1.0,1,Slighty warm,Slighty warm
588,0.0,0,Neutral,Neutral
589,0.0,1,Neutral,Slighty warm
590,1.0,2,Slighty warm,Warm
591,2.0,0,Warm,Neutral
592,0.0,0,Neutral,Neutral
593,0.0,0,Neutral,Neutral
594,0.0,0,Neutral,Neutral
595,-2.0,0,Cool,Neutral
596,0.0,0,Neutral,Neutral
597,0.0,2,Neutral,Warm
598,0.0,0,Neutral,Neutral
599,0.0,0,Neutral,Neutral
600,-1.0,0,Slighty cool,Neutral
601,1.0,1,Slighty warm,Slighty warm
602,1.0,0,Slighty warm,Neutral
603,0.0,0,Neutral,Neutral
604,-1.0,0,Slighty cool,Neutral
605,-1.0,0,Slighty cool,Neutral
606,0.0,0,Neutral,Neutral
607,0.0,-1,Neutral,Slighty cool
608,0.0,0,Neutral,Neutral
609,3.0,1,Hot,Slighty warm
610,0.0,1,Neutral,Slighty warm
611,0.0,0,Neutral,Neutral
612,-2.0,-1,Cool,Slighty cool
613,0.0,0,Neutral,Neutral
614,0.0,0,Neutral,Neutral
615,1.0,0,Slighty warm,Neutral
616,0.0,0,Neutral,Neutral
617,-1.0,0,Slighty cool,Neutral
618,2.0,2,Warm,Warm
619,-1.0,0,Slighty cool,Neutral
620,1.0,1,Slighty warm,Slighty warm
621,-1.0,0,Slighty cool,Neutral
622,1.0,1,Slighty warm,Slighty warm
623,0.0,0,Neutral,Neutral
624,0.0,0,Neutral,Neutral
625,0.0,0,Neutral,Neutral
626,-1.0,0,Slighty cool,Neutral
627,-2.0,0,Cool,Neutral
628,-1.0,0,Slighty cool,Neutral
629,-0.0,1,Neutral,Slighty warm
630,0.0,0,Neutral,Neutral
631,0.0,1,Neutral,Slighty warm
632,0.0,0,Neutral,Neutral
633,3.0,1,Hot,Slighty warm
634,0.0,0,Neutral,Neutral
635,2.0,1,Warm,Slighty warm
636,1.0,0,Slighty warm,Neutral
637,0.0,-1,Neutral,Slighty cool
638,2.0,0,Warm,Neutral
639,-1.0,0,Slighty cool,Neutral
640,0.0,0,Neutral,Neutral
641,0.0,0,Neutral,Neutral
642,-0.0,0,Neutral,Neutral
643,3.0,0,Hot,Neutral
644,-1.0,0,Slighty cool,Neutral
645,0.0,0,Neutral,Neutral
646,2.0,0,Warm,Neutral
647,0.0,1,Neutral,Slighty warm
648,0.0,0,Neutral,Neutral
649,2.0,0,Warm,Neutral
650,0.0,0,Neutral,Neutral
651,0.0,0,Neutral,Neutral
652,1.0,0,Slighty warm,Neutral
653,0.0,0,Neutral,Neutral
654,3.0,0,Hot,Neutral
655,1.0,0,Slighty warm,Neutral
656,0.0,0,Neutral,Neutral
657,-1.0,1,Slighty cool,Slighty warm
658,1.0,1,Slighty warm,Slighty warm
659,1.0,0,Slighty warm,Neutral
660,0.0,0,Neutral,Neutral
661,-1.0,0,Slighty cool,Neutral
662,3.0,1,Hot,Slighty warm
663,1.0,0,Slighty warm,Neutral
664,0.0,1,Neutral,Slighty warm
665,0.0,-1,Neutral,Slighty cool
666,-1.0,0,Slighty cool,Neutral
667,0.0,0,Neutral,Neutral
668,-1.0,0,Slighty cool,Neutral
669,0.0,0,Neutral,Neutral
670,3.0,1,Hot,Slighty warm
671,0.0,1,Neutral,Slighty warm
672,-3.0,0,Cold,Neutral
673,0.0,0,Neutral,Neutral
674,-1.0,-1,Slighty cool,Slighty cool
675,-1.0,0,Slighty cool,Neutral
676,1.0,1,Slighty warm,Slighty warm
677,0.0,0,Neutral,Neutral
678,0.0,0,Neutral,Neutral
679,0.0,0,Neutral,Neutral
680,-1.0,-1,Slighty cool,Slighty cool
681,3.0,1,Hot,Slighty warm
682,-1.0,0,Slighty cool,Neutral
683,0.0,0,Neutral,Neutral
684,0.0,-1,Neutral,Slighty cool
685,0.0,0,Neutral,Neutral
686,1.0,0,Slighty warm,Neutral
687,0.0,1,Neutral,Slighty warm
688,1.0,0,Slighty warm,Neutral
689,3.0,1,Hot,Slighty warm
690,-1.0,-1,Slighty cool,Slighty cool
691,0.0,1,Neutral,Slighty warm
692,-0.0,0,Neutral,Neutral
693,0.0,0,Neutral,Neutral
694,0.0,0,Neutral,Neutral
695,-1.0,-1,Slighty cool,Slighty cool
696,0.0,0,Neutral,Neutral
697,1.0,1,Slighty warm,Slighty warm
698,2.0,0,Warm,Neutral
699,-1.0,-1,Slighty cool,Slighty cool
700,0.0,0,Neutral,Neutral
701,-2.0,0,Cool,Neutral
702,0.0,0,Neutral,Neutral
703,0.0,0,Neutral,Neutral
704,0.0,0,Neutral,Neutral
705,0.0,0,Neutral,Neutral
706,1.0,0,Slighty warm,Neutral
707,0.0,0,Neutral,Neutral
708,3.0,1,Hot,Slighty warm
709,0.0,0,Neutral,Neutral
710,0.0,0,Neutral,Neutral
711,-1.0,0,Slighty cool,Neutral
